Reaction_ID,Reaction_Name,kcat,kcat_MW
rxn01859_c0,Deoxyadenosine:orthophosphate ribosyltransferase_c0,12.4284,774.0441856
rxn01358_c0,inosine:phosphate alpha-D-ribosyltransferase_c0,16.965,1056.584887
rxn01138_c0,Adenosine:phosphate alpha-D-ribosyltransferase_c0,0.5433,33.8368741
rxn12510_c0,ATP:pantothenate 4'-phosphotransferase_c0,3.9122,258.8271075
rxn05308_c0,Pantothenate reversible transport via proton symport_c0,,
rxn00077_c0,ATP:NAD+ 2'-phosphotransferase_c0,,
rxn00001_c0,diphosphate phosphohydrolase_c0,,
rxn00029_c0,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)_c0,,
rxn00242_c0,"guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase_c0",0.0725,1.59758295
rxn00104_c0,polyphosphate kinase_c0,,
rxn02895_c0,5-Phospho-D-ribosylamine:glycine ligase (ADP-forming)_c0,5.5766,455.3465744
rxn02508_c0,N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase_c0,,
rxn02835_c0,"1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase_c0",8.8675,1292.437344
rxn03175_c0,N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase_c0,11.276,1558.857905
rxn05638_c0,TRANS-RXNBWI-115637.ce.maizeexp.PRO_c0,,
rxn02476_c0,Phosphoenolpyruvate:3-phosphoshikimate 5-O-(1-carboxyvinyl)-transferase_c0,108.7134,8856.840326
rxn02914_c0,3-Phosphoserine:2-oxoglutarate aminotransferase_c0,118.4785,5355.324668
rxn00173_c0,acetyl-CoA:phosphate acetyltransferase_c0,0.5527,1000.0
rxn00670_c0,propanoyl-CoA:phosphate propanoyltransferase_c0,0.1947,5.020617236
rxn02175_c0,ATP:pantetheine-4'-phosphate adenylyltransferase_c0,0.1388,4.471602089
rxn05163_c0_num1,putrescine transport via ABC system_c0,5.0583,257.6811237
rxn05687_c0,"Transport of putrescine, extracellular_c0",,
rxn01446_c0,Deoxyguanosine:orthophosphate ribosyltransferase_c0,0.3366,20.96354099
rxn01985_c0,Deoxyinosine:orthophosphate ribosyltransferase_c0,6.0096,374.2795483
rxn01649_c0,Xanthosine:orthophosphate ribosyltransferase_c0,2.4054,149.8089765
rxn00929_c0,L-Proline:NAD+ 5-oxidoreductase_c0,0.2358,30.30292472
rxn00250_c0,Pyruvate:carbon-dioxide ligase (ADP-forming)_c0,5.6848,161.2812295
rxn01807_c0,ATP:pyridoxal 5'-phosphotransferase_c0,0.0134,0.791869335
rxn00138_c0,deamido-NAD+:ammonia ligase (AMP-forming)_c0,14.8017,765.8949657
rxn02402_c0_reverse,Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating)_c0,31.0177,1879.740974
rxn02988_c0_reverse,glycerone phosphate:iminosuccinate alkyltransferase (cyclizing)_c0,43.0073,4669.940687
rxn00818_c0,Raffinose galactohydrolase_c0,104.405,2281.118112
rxn00392_c0,ATP:riboflavin 5'-phosphotransferase_c0,0.1088,3.797106953
rxn03150_c0,R04594_c0,5.9482,855.9562469
rxn02474_c0,5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase_c0,2.688,243.7708982
rxn05645_c0,riboflavin transport in via proton symport_c0,2.8859,251.7902396
rxn01646_c0,N-Ribosylnicotinamide:orthophosphate ribosyltransferase_c0,,
rxn00689_c0,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)_c0,,
rxn05233_c0,2'-Deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase_c0,26.5623,1673.668043
rxn05236_c0,2'-Deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase_c0,2.7138,110.4716733
rxn01116_c0,D-Ribulose-5-phosphate 3-epimerase_c0,,
rxn00126_c0,ATP:L-methionine S-adenosyltransferase_c0,,
rxn09696_c0,S-adenosylmethionine permease SAM3_c0,,
rxn09242_c0_num1,D-sorbitol transport via PEP:Pyr PTS (periplasm)_c0,133.0227,2558.416568
rxn01329_c0_num1,"D-mannose 6-phosphate 1,6-phosphomutase_c0",,
rxn03445_c0,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase_c0,11.0239,498.2892559
rxn01101_c0_num1,3-Phospho-D-glycerate:NAD+ 2-oxidoreductase_c0,16.2721,714.7197626
rxn00165_c0,L-serine ammonia-lyase_c0,,
rxn00543_c0,ethanol:NAD+ oxidoreductase_c0,0.4582,7.140774896
rxn01739_c0,ATP:shikimate 3-phosphotransferase_c0,51.4509,9426.841041
rxn00692_c0,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase_c0",33.5039,1340.03381
rxn05957_c0,O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0,10.7151,251.7868935
rxn05651_c0,sulfate transport in via proton symport_c0,,
rxn00127_c0,S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]_c0,5.689,562.0103927
rxn05175_c0_num1,spermidine transport via ABC system_c0,10.1569,298.3991172
rxn05652_c0,spermidine transport in via proton antiport_c0,,
rxn00206_c0_reverse,superoxide:superoxide oxidoreductase_c0,,
rxn05655_c0_num1,sucrose transport via PEP:Pyr PTS_c0,22.4247,806.0082723
rxn00575_c0,sucrose glucohydrolase_c0,3.85,125.2443254
rxn01333_c0,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase_c0,52.2958,8113.503428
rxn05496_c0,TRANS-RXNBWI-115637.ce.maizeexp.L-ALPHA-ALANINE_c0,23.7526,1829.366525
rxn05301_c0,TRANS-RXNBWI-115637.ce.maizeexp.TYR_c0,,
rxn02000_c0,"dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0",,
rxn01652_c0,S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)_c0,9.8647,394.552023
rxn02484_c0,ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase_c0,6.1822,404.9591001
rxn03108_c0,ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase_c0,27.3363,1790.638195
rxn09657_c0,Thiamine transporter_c0,,
rxn00440_c0,ATP:thiamine diphosphotransferase_c0,0.1409,21.34568646
rxn01069_c0,O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)_c0,,
rxn00737_c0,L-threonine ammonia-lyase (2-oxobutanoate-forming)_c0,,
rxn05300_c0,TRANS-RXNBWI-115637.ce.maizeexp.THR_c0,,
rxn02305_c0,2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase_c0,2.7138,102.6214218
rxn05289_c0,NADPH:oxidized-thioredoxin oxidoreductase_c0,,
rxn02005_c0,trehalose transport via PEP:Pyr PTS_c0,79.8856,1536.434327
rxn00650_c0_num1,L-cysteinylglycine dipeptidase_c0,0.4685,63.14042552
rxn00966_c0_reverse,chorismate pyruvate-lyase (4-hydroxybenzoate-forming)_c0,,
rxn00727_c0,Chorismate pyruvate-lyase (amino-accepting)_c0,17.3688,419.6515623
rxn01269_c0,Prephenate:NADP+ oxidoreductase(decarboxylating)_c0,9.1764,1101.356222
rxn00527_c0_num1,L-tyrosine:2-oxoglutarate aminotransferase_c0,3.2288,98.19423343
rxn01492_c0,ATP:D-fructose-1-phosphate 6-phosphotransferase_c0,8.6652,467.8306696
rxn01548_c0,guanosine:phosphate alpha-D-ribosyltransferase_c0,50.0035,3114.231794
rxn05466_c0,TRANS-RXN-173.ce_c0,,
rxn01219_c0_num1,ATP:dCMP phosphotransferase_c0,,
rxn00364_c0_num1,ATP:CMP phosphotransferase_c0,,
rxn01366_c0,Uridine:phosphate alpha-D-ribosyltransferase_c0,16.2636,1103.117972
rxn01521_c0_num1,2'-Deoxyuridine 5'-monophosphate phosphohydrolase_c0,,
rxn00132_c0,Adenosine 5'-monophosphate phosphohydrolase_c0,,
rxn00189_c0_num1,L-Glutamine amidohydrolase_c0,3.9478,204.2738433
rxn00423_c0,acetyl-CoA:L-serine O-acetyltransferase_c0,2.7721,205.2181765
rxn01268_c0_num1,Prephenate:NAD+ oxidoreductase(decarboxylating)_c0,3.1673,380.1409661
rxn00122_c0,ATP:FMN adenylyltransferase_c0,0.189,6.596077335
rxn01396_c0,ATP:pyridoxine 5'-phosphotransferase_c0,4.0746,240.7873726
rxn00124_c0,ATP:pyridoxal 5'-phosphotransferase_c0,0.0288,1.701928123
rxn09177_c0,(R)-4'-Phosphopantothenate:L-cysteine ligase_c0,10.2466,338.0807767
rxn02341_c0,N-[(R)-4'-Phosphopantothenoyl]-L-cysteine carboxy-lyase_c0,1.0193,46.96646295
rxn00297_c0,UDP-N-acetyl-D-glucosamine 2-epimerase_c0,,
rxn00293_c0,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase_c0,11.7153,286.0308898
rxn04308_c0,"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate cistransferase (adding 8 isopentenyl units)_c0",1.1639,75.6541021
rxn00214_c0,UDP-glucose 4-epimerase_c0,,
rxn00211_c0,UDP-glucose:NAD+ 6-oxidoreductase_c0,0.6409,49.35433216
rxn00711_c0_reverse,UMP:diphosphate phospho-alpha-D-ribosyltransferase_c0,33.1771,1382.870422
rxn01362_c0_reverse,Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase_c0,772.682,56045.40561
rxn00710_c0,orotidine-5'-phosphate carboxy-lyase (UMP-forming)_c0,153.593,8437.402399
rxn00410_c0,UTP:ammonia ligase (ADP-forming)_c0,729.9124,10968.27693
rxn00101_c0_num1,Urea amidohydrolase_c0,8.1157,342.9766341
rxn00119_c0,ATP:UMP phosphotransferase_c0,,
rxn00903_c0,L-Valine:2-oxoglutarate aminotransferase_c0,1.7043,152.4169568
rxn05663_c0,TRANS-RXNBWI-115637.ce.maizeexp.TRP_c0,,
rxn09693_c0,Biotin uptake_c0,,
rxn01544_c0_reverse,XMP:pyrophosphate phosphoribosyltransferase_c0,26.6648,2302.12793
rxn01962_c0,XTP pyrophosphohydrolase_c0,,
rxn05671_c0,D-xylose transport in via proton symport_c0,11.2996,124.8546212
rxn00213_c0,UTP:alpha-D-glucose-1-phosphate uridylyltransferase_c0,,
rxn00022_c0,maltose glucohydrolase_c0,,
rxn02155_c0,ATP:nicotinamide-nucleotide adenylyltransferase_c0,,
rxn01678_c0,ATP:dUDP phosphotransferase_c0,,
rxn01512_c0,ATP:dTDP phosphotransferase_c0,,
rxn05150_c0_num1,zinc transport via ABC system_c0,,
rxn07917_c0,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)_c0",,
rxn05335_c0,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase_c0,,
rxn07977_c0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)_c0,,
rxn07979_c0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)_c0,,
rxn07980_c0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)_c0,,
rxn08015_c0,acyl-[acyl-carrier-protein] synthetase  (n-C14:1)_c0,0.0127,1.339208189
rxn08017_c0,acyl-[acyl-carrier-protein] synthetase  (n-C16:1)_c0,0.2128,22.43964587
rxn08020_c0,laurate-[acyl-carrier-protein] ligase_c0,0.2284,24.0846575
rxn08021_c0,acyl-[acyl-carrier-protein] synthetase  (n-C10:0)_c0,127.604,13455.77336
rxn08025_c0,Arbutin 6-phosphate glucohydrolase_c0,0.4422,7.470614779
rxn03537_c0,R05222_c0,,
rxn00897_c0,N-acetyl-D-glucosamine 2-epimerase_c0,,
rxn00225_c0_reverse,ATP:acetate phosphotransferase_c0,0.6992,18000.0
rxn00868_c0_reverse,"Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0",0.714,62.59517262
rxn00872_c0_reverse,Butanoyl-CoA:oxygen 2-oxidoreductase_c0,0.7311,64.09430071
rxn03251_c0,"Hexanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0",0.7467,65.46192633
rxn02679_c0,Octanoyl-CoA:oxygen 2-oxidoreductase_c0,0.7611,66.72434998
rxn03253_c0,"Decanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0",0.775,67.94293947
rxn02720_c0,"Lauroyl-CoA:(acceptor) 2,3-oxidoreductase_c0",0.1073,9.406809556
rxn02803_c0,"Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0",45.7798,4013.437652
rxn00946_c0,Palmitoyl-CoA:oxygen 2-oxidoreductase_c0,19.5657,1715.291833
rxn04016_c0,"S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate 2'-O-methyltransferase_c0",62.4896,7600.701938
rxn00974_c0,citrate hydro-lyase (cis-aconitate-forming)_c0,,
rxn01388_c0,isocitrate hydro-lyase (cis-aconitate-forming)_c0,,
rxn01103_c0,3-Phospho-D-glyceroyl phosphate phosphohydrolase_c0,0.8881,310.2949127
rxn00227_c0,Acetyl phosphate phosphohydrolase_c0,1.9508,681.5936446
rxn10052_c0,adenylate kinase (Inorganic triphosphate)_c0,,
rxn08070_c0,Adenosylcobalamin transport via ABC system (periplasm)_c0,4.8733,66.72151075
rxn01972_c0,"N6-Acetyl-LL-2,6-diaminoheptanedioate amidohydrolase_c0",,
rxn00775_c0,ADP-ribose ribophosphohydrolase_c0,8.7861,1565.929397
rxn00858_c0,Agmatine amidinohydrolase_c0,,
rxn08084_c0,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)_c0,1.5573,253.0849885
rxn08089_c0,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)_c0,3.389,550.7641598
rxn00143_c0,S-Adenosyl-L-homocysteine homocysteinylribohydrolase_c0,62.2349,9143.992362
rxn05733_c0,"O3-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase (reducing, L-cysteine-forming)_c0",40.2732,2285.819963
rxn05115_c0,5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase_c0,,
rxn00763_c0,Glycerol:NAD+ oxidoreductase_c0,6.3005,98.18955092
rxn01710_c0,"Propane-1,3-diol:NAD+ 1-oxidoreductase_c0",21.0102,327.43149
rxn02853_c0,Imidazole acetaldehyde:NAD+ oxidoreductase_c0,32.2241,713.9838701
rxn00653_c0,3-aminopropanal:NAD+ oxidoreductase_c0,30.5663,677.2522792
rxn08123_c0_num1,anhydrous-N-Acetylmuramyl-tripeptide amidase_c0,9.153,1203.175096
rxn08124_c0_num1,anhydrous-N-Acetylmuramyl-tetrapeptide amidase_c0,7.4341,977.2232033
rxn08129_c0,Amylomaltase (maltohexaose)_c0,2.5217,77.39366938
rxn10094_c0,S-adenosylmethione:2-demethylmenaquinone methyltransferase_c0,,
rxn08131_c0,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase_c0,0.4685,2.97237468
rxn00726_c0,chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)_c0,14.8117,357.8688824
rxn02916_c0,R04175_c0,,
rxn01630_c0,5-Aminopentanamide amidohydrolase_c0,,
rxn05501_c0,arbutin transport via PEP:Pyr PTS_c0,20.3434,391.2632326
rxn00338_c0,L-aspartate:oxygen oxidoreductase_c0,16.3516,567.6190562
rxn00347_c0,L-Aspartate ammonia-lyase_c0,,
rxn00222_c0,cellobiose glucohydrolase_c0,0.2537,9.066826055
rxn06672_c0,biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming)_c0,3.0894,87.22210436
rxn01084_c0,ATP:cob(I)alamin Co-beta-adenosyltransferase_c0,9.769,1882.120507
rxn03908_c0,ATP:4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase_c0,1.4882,107.9513963
rxn10770_c0_num1,R08557_c0,57.4944,896.0160807
rxn10481_c0_num1,Copper transport via ABC system_c0,,
rxn03535_c0,"ATP:cob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase_c0",,
rxn00953_c0,L-Serine hydro-lyase (adding homocysteine)_c0,,
rxn08294_c0,diacylglycerol kinase (n-C12:0)_c0,,
rxn08295_c0,diacylglycerol kinase (n-C14:0)_c0,,
rxn08296_c0,diacylglycerol kinase (n-C14:1)_c0,,
rxn08297_c0,diacylglycerol kinase (n-C16:0)_c0,,
rxn08298_c0,diacylglycerol kinase (n-C16:1)_c0,11.4424,2299.061584
rxn08299_c0,diacylglycerol kinase (n-C18:0)_c0,,
rxn08300_c0,diacylglycerol kinase (n-C18:1)_c0,0.3983,80.02833575
rxn00313_c0,"meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)_c0",,
rxn10484_c0,diaminopimelate dehydrogenase_c0,,
rxn01974_c0,"LL-2,6-Diaminoheptanedioate 2-epimerase_c0",,
rxn08306_c0,CDP-diacylglycerol synthetase (n-C12:0)_c0,,
rxn08307_c0,CDP-diacylglycerol synthetase (n-C14:0)_c0,,
rxn08308_c0,CDP-diacylglycerol synthetase (n-C14:1)_c0,,
rxn08309_c0,CDP-diacylglycerol synthetase (n-C16:0)_c0,,
rxn08310_c0,CDP-diacylglycerol synthetase (n-C16:1)_c0,14.8666,1698.037953
rxn08311_c0,CDP-diacylglycerol synthetase (n-C18:0)_c0,17.2724,1972.824367
rxn08312_c0,CDP-diacylglycerol synthetase (n-C18:1)_c0,401.3099,45836.93925
rxn00407_c0,CTP aminohydrolase_c0,,
rxn00745_c0_num1,Phosphoenolpyruvate:glycerone phosphotransferase_c0,10.083,2041.292426
rxn02929_c0,"2,3,4,5-Tetrahydrodipicolinate:NADP+ oxidoreductase_c0",0.3911,12.76618386
rxn01644_c0,L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing)_c0,24.5774,686.8471335
rxn08333_c0,"1,4-dihydroxy-2-naphthoate octaprenyltransferase_c0",,
rxn02190_c0,"5,6-Dihydrothymine amidohydrolase_c0",0.5643,40.11385869
rxn01213_c0,GPPSYN-RXN_c0,3.5469,396.9725473
rxn08352_c0,R08210_c0,3.6601,181.2809537
rxn10506_c0,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase_c0",,
rxn03909_c0,1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)_c0,0.4932,12.88175769
rxn08438_c0,R08157_c0,6.9953,307.599472
rxn06033_c0,Oleoyl-[acyl-carrier protein] hydrolase_c0,,
rxn00786_c0_num1,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)_c0",,
rxn01870_c0,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase_c0,,
rxn01334_c0_num1,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0",,
rxn08502_e0,enterobactin Fe(III) binding (spontaneous)_e0,,
rxn05255_c0,folate transport via proton simport_c0,,
rxn08546_c0,glycerol-3-phosphate acyltransferase (C12:0)_c0,6.9953,737.6506332
rxn08548_c0,glycerol-3-phosphate acyltransferase (C14:1)_c0,6.9953,737.6506332
rxn08549_c0,glycerol-3-phosphate acyltransferase (C16:0)_c0,121.6942,12832.58812
rxn00621_c0,CTP:sn-glycerol-3-phosphate cytidylyltransferase_c0,,
rxn00612_c0,sn-Glycerol-3-phosphate:NADP+ 2-oxidoreductase_c0,42.444,4222.685158
rxn02373_c0_reverse,L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)_c0,5.4863,37.348207
rxn02596_c0,R03634_c0,58.636,1281.12295
rxn00779_c0,D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase_c0,,
rxn03962_c0,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)_c0",302.4636,30689.53928
rxn08615_c0,glycogen synthase (ADPGlc)_c0,302.4636,5067.942328
rxn03406_c0,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-_c0,302.4636,22028.14745
rxn03407_c0,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine:ammonia ligase (ADP-forming)_c0,64.7771,4717.656969
rxn03409_c0,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-_c0,9.0159,656.619754
rxn00179_c0,ATP:L-glutamate 5-phosphotransferase_c0,6.0868,62.61466123
rxn00193_c0,glutamate racemase_c0,,
rxn00085_c0,L-Glutamate:NADP+ oxidoreductase (transaminating)_c0,41.9,2814.257121
rxn06591_c0,L-glutamate-semialdehyde: NADP+ oxidoreductase(L-glutamyl-tRNA(Glu)-forming)_c0,,
rxn00762_c0,glycerol:NAD+ 2-oxidoreductase_c0,,
rxn01466_c0,Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase_c0,10.2466,1146.809581
rxn00303_c0,ATP:GTP 3'-diphosphotransferase_c0,,
rxn05329_c0,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0,,
rxn05339_c0,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase_c0,9.123,321.6692491
rxn03893_c0,all-trans-octaprenyl-diphosphate:4-hydroxybenzoate 3-octaprenyltransferase_c0,,
rxn05148_c0,Heme transport via ABC system_c0,,
rxn12008_c0_reverse,R05611_c0,79.9602,5197.454365
rxn08715_c0_num1,Mercury (Hg+2) ABC transporter (periplasm)_c0,,
rxn02503_c0,"ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 6'-pyrophosphotransferase_c0",2.3628,455.7884438
rxn03135_c0_reverse_num1,R04558_c0,18.0564,2388.607176
rxn02473_c0,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase_c0,,
rxn00879_c0,myo-Inositol:NAD+ 2-oxidoreductase_c0,,
rxn02811_c0_num1,3-Isopropylmalate hydro-lyase_c0,,
rxn08766_c0,FabH_c0,4.527,227.9813535
rxn05206_c0,TRANS-RXN-187.ce_c0,,
rxn00499_c0,(S)-Lactate:NAD+ oxidoreductase_c0,13.902,181.0746799
rxn00322_c0,L-lysine carboxy-lyase (cadaverine-forming)_c0,6.4253,493.2491956
rxn00546_c0,D-Mannitol-1-phosphate:NAD+ 5-oxidoreductase_c0,14.8498,599.6210788
rxn08890_c0,"murein D,D-carboxypeptidase (murein5px4p) (periplasm)_c0",9.6993,100.7194786
rxn08893_c0,"murein D,D-carboxypeptidase (murein5p4p) (periplasm)_c0",,
rxn08895_c0,"murein D,D-endopeptidase (murein4px4p) (periplasm)_c0",,
rxn08898_c0,"murein D,D-endopeptidase (murein4px4px4p) (periplasm)_c0",82.7253,859.0361244
rxn12633_c0_num1,RXN0-6975.c_c0,13.816,1862.002388
rxn12639_c0_num1,RXN0-6976.c_c0,33.0174,4449.802957
rxn12640_c0_num1,methionyl aminopeptidase_c0,,
rxn12641_c0_num1,RXN0-6977.c_c0,,
rxn12642_c0_num1,RXN0-6978.c_c0,59.6786,8042.971608
rxn12643_c0_num1,RXN0-6979.c_c0,44.7047,6024.917355
rxn12644_c0_num1,methionyl aminopeptidase_c0,,
rxn12645_c0_num1,methionyl aminopeptidase_c0,,
rxn12646_c0_num1,RXN0-6983.c_c0,9.0499,1219.668168
rxn12635_c0_num1,RXN0-6974.c_c0,3.1046,418.4114516
rxn12638_c0_num1,methionyl aminopeptidase_c0,7.8731,1061.069123
rxn12636_c0_num1,methionyl aminopeptidase_c0,5.0455,679.9893638
rxn05293_c0,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase_c0",7.8731,741.6961057
rxn03910_c0,2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)_c0,,
rxn10570_c0,Methanol diffusion_c0,,
rxn03907_c0,CTP: 2-C-Methyl-D-erythritol 4-phosphate cytidylyltransferase_c0,5.0455,365.9916478
rxn05613_c0,L-methionine S-oxide transport via ABC system_c0,3.6528,116.5950285
rxn05614_c0,L-methionine R-oxide transport via ABC system_c0,12.1117,386.5976804
rxn06077_c0,L-methionine:oxidized-thioredoxin S-oxidoreductase_c0,17.9461,1785.822696
rxn00748_c0,glycerone-phosphate phosphate-lyase (methylglyoxal-forming)_c0,,
rxn08933_c0,Maltodextrin glucosidase (maltotetraose)_c0,3.733,105.22655
rxn08936_c0,Maltodextrin glucosidase (maltoheptaose)_c0,18.8725,531.9818014
rxn08941_c0,Maltodextrin phosphorylase (maltopentaose)_c0,13.8177,200.6127434
rxn08942_c0,Maltodextrin phosphorylase (maltohexaose)_c0,15.1194,219.5115188
rxn01132_c0,Maltose:phosphate 1-beta-D-glucosyltransferase_c0,18.946,275.0681399
rxn01021_c0,Methylthioadenosine methylthioribohydrolase_c0,0.7475,109.8279951
rxn08971_c0,NADH dehydrogenase (menaquinone-8 & 0 protons)_c0,15.2176,903.5670357
rxn10124_c0_reverse,NADH dehydrogenase (demethylmenaquinone-8 & 2.8 protons)_c0,,
rxn08976_c0,quinone reductase_c0,28.1689,1672.569227
rxn08981_c0,nicotinic acid mononucleotide pyrophosphorylase_c0,67.2097,4466.886299
rxn01669_c0,Nicotinamide-D-ribonucleotide amidohydrolase_c0,1.4882,19.02332082
rxn02897_c0,Nicotinate-nucleotide:dimethylbenzimidazole phospho-D-ribosyltransferase_c0,,
rxn01351_c0,2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase_c0,,
rxn02518_c0,2'-Deoxyinosine-5'-triphosphate pyrophosphohydrolase_c0,,
rxn00301_c0,GTP diphosphohydrolase (diphosphate-forming)_c0,,
rxn00367_c0,CTP diphosphohydrolase (diphosphate-forming)_c0,,
rxn00063_c0,ATP diphosphohydrolase (diphosphate-forming)_c0,,
rxn09014_c0,RXN0-5107.c_c0,,
rxn00463_c0,Uridine triphosphate pyrophosphohydrolase_c0,,
rxn00568_c0_reverse_num1,NIRBD-RXN.c_c0,,
rxn09022_c0,O16 antigen polymerase (periplasm)_c0,,
rxn09023_c0,O16 antigen polymerase (periplasm)_c0,1.827,157.7368799
rxn04794_c0,propanoyl-CoA:formate C-propanoyltransferase_c0,,
rxn03395_c0,"S-adenosyl-L-methionine:3-(all-trans-octaprenyl)benzene-1,2-diol 2-O-methyltransferase_c0",,
rxn03393_c0,3-octaprenyl-4-hydroxybenzoate carboxy-lyase_c0,,
rxn03903_c0,UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala):undecaprenyl-phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase_c0,76.0904,3762.645022
rxn03904_c0,"UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine:undecaprenyl-phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase_c0",7.3695,364.4193287
rxn01485_c0,"D-Glucosamine 1-phosphate 1,6-phosphomutase_c0",,
rxn00608_c0,6-phospho-beta-D-glucosyl-(1->4)-D-glucose 6-phosphoglucohydrolase_c0,6.8956,116.4956383
rxn00980_c0,2-Phosphoglycolate phosphohydrolase_c0,0.0906,2.713025324
rxn09108_c0,Phosphatidylglycerol synthase (n-C12:0)_c0,0.1236,11.32359097
rxn09109_c0,Phosphatidylglycerol synthase (n-C14:0)_c0,0.0906,8.300302121
rxn09110_c0,Phosphatidylglycerol synthase (n-C14:1)_c0,0.0953,8.730891746
